"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"r9vz","Thai Syok (Setia Alam)","Thai","4.5","(100+)","Shah Alam",""
"d89r","Coco Loca, Coconut Shake (Kota Kemuning, Shah Alam)","Beverages","4.9","(41)","Shah Alam",""
"x8rc","RES SILVAS CURRY HOUSE","Indian","4.4","(1000+)","Shah Alam",""
"s4h9","Braised Chicken Rice 老滷妙记","Chinese","4.3","(15)","Shah Alam",""
"tcjl","Penang Fried Kuey Teow","Chinese","5","(19)","Shah Alam",""
"qbxd","Penang Char Kuey Teow 家翊槟城炒粿条","Chinese","4.1","(26)","Shah Alam",""
"vhf1","Restoran Raidee Seafood","Malaysian","4.4","(5)","Shah Alam",""
"ub6e","川湘食味坊  - CHUAN XIANG KITCHEN","Chinese","4.3","(69)","Shah Alam",""
"gmwl","Shaktthi Indian Claypot @Setia Food Hunter","Chicken Rice","4.6","(4)","Shah Alam",""
"g06q","AH OR Chu Yuk Fun","Chinese","4.2","(100+)","Shah Alam",""
"diu4","E-C-NE KOREAN RESTAURANT","Korean","4.6","(100+)","Shah Alam",""
"p5vp","Ah Her Bak Kut Teh 亞火肉骨茶 (Setia Alam)","Rice Dishes","4.5","(500+)","Shah Alam",""
"ejvs","You Tiao Lab (Restoran Bao Huat)","Malaysian","5","(1)","Shah Alam",""
"iyyh","Jom Kopi @ Setia Alam (Food Truck)","Beverages","5","(100+)","Shah Alam",""
"n0mn","Kota kemuning famous Nookiah Cendol & Rojak","Desserts","4.4","(1000+)","Shah Alam",""
"v6ip","Tomo Kitchen @ Setia Alam Food Hunter Food Court","Western","4.7","(79)","Shah Alam",""
"mjbf","Fujian kuchabe @Setia Food Hunter","Chinese","4.3","(100+)","Shah Alam",""
"bkrf","Jisoo Korean Fried Chicken (Kota Kemuning)","Korean","4.8","(1000+)","Shah Alam",""
"p6cd","Sushi ZenS (Kota Kemuning)","Sushi","4.6","(500+)","Shah Alam",""
"zan3","Teh ais Madu 3 @Subang Bestari","Tea","4.9","(100+)","Shah Alam",""
"hgek","Chatto Coffee (Kota Kemuning)","Coffee","4.7","(500+)","Shah Alam",""
"m0l0","US PIZZA (SETIA ALAM)","Pizza","4.7","(500+)","Shah Alam",""
"y8fh","Fatz Singh Chapati @Setia Food Hunter","Indian","5","(2)","Shah Alam",""
"ycog","BMS Organics (Kota Kemuning)","Healthy","4","(21)","Shah Alam",""
"q37d","Muiz Hot Chicken Subang Bestari","Fast Food","5","(21)","Shah Alam",""
"gq48","Kaara Saaram Claypot Restaurant (Kota Kemuning)","Asian","4.2","(100+)","Shah Alam",""
"xr10","Yun Heong Kopitiam","Malaysian","4.1","(4)","Shah Alam",""
"qziw","XILINMEN NOODLES","Asian","5","(3)","Shah Alam",""
"p1bw","V Garden Restaurant (Setia Alam)","Dumpling","4.3","(100+)","Shah Alam",""
"b1lh","THAI FOOD DELICIOUS","Fried Rice","4.3","(26)","Shah Alam",""
"w2lo","RESTORAN BAYLEAF KITCHEN","Malaysian","4.5","(2000+)","Shah Alam",""
"wvhg","Face to Face Noodle House (Setia Alam)","Noodles","4.6","(500+)","Shah Alam",""
"q6pi","Che Wan Nasi Kak Wok","Rice Dishes","4.6","(1000+)","Shah Alam",""
