"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"pocc","CoCo Crave Cuisine","Malaysian","5","(5)","Klang",""
"s3xv","Uncle Raju Kopitiam","Malaysian","4.5","(100+)","Klang",""
"i1vl","Ratha Curry House","Roti Canai","4.4","(1000+)","Klang",""
"n9oa","Yo Mama Bubble Tea (Klang)","Desserts","4.8","(5000+)","Klang",""
"uwae","Burger Coslow Kaw","Burgers","5","(3)","Klang",""
"owws","Nasi Lemak Basmathi Ayam Kampung","Asian","3.9","(41)","Klang",""
"r2ns","Thai Food 泰国餐","Asian","4.7","(41)","Klang",""
"xwwb","Kedai Makan Nur Aina Atika","Malaysian","4.2","(85)","Klang",""
"vxrt","Dapur mami gojes","Malaysian","5","(1)","Klang",""
"edzs","四星小食园 Four Star Restoran","Chinese","4.6","(83)","Klang",""
"tzp8","Cendol Bayu","Desserts","4.9","(80)","Klang",""
"n3l1","Misyo's Cafe","Beverages","5","(1)","Klang",""
"yjev","Sup Pattani 3 Sahabat","Malaysian","4.6","(500+)","Klang",""
"je5e","PULAU KETAM CUISINE 33 美食中心 (港口路）","Chinese","3.8","(22)","Klang",""
"l5rs","Ah Di Salted Chicken Rice","Asian","5","(6)","Klang",""
"kwhn","Bakso Blok B Bayu Corner","Soups","4.4","(100+)","Klang",""
"b394","123 TG KOPITIAM","Chinese","4.9","(16)","Klang",""
"nzm1","Restoran Gang Kou Laksa 港口叻沙云吞面","Laksa","4.5","(500+)","Klang",""
"mmkb","Cheery Cake House - Taman Bayu Perdana","Cakes","4.9","(12)","Klang",""
"rn6j","Rong Rong Wan Tan Mee 蓉蓉云吞面 - Ah Lam Kopitiam [Non-Halal]","Chinese","3.7","(25)","Klang",""
"mrmc","保晖小食园 RESTORAN POH HOOI","Chinese","4.6","(100+)","Klang",""
"azze","Mee Kayangan","Malaysian","5","(1)","Klang",""
"y87v","Gerai Cik Jah Goreng Pisang","Malaysian","3.7","(13)","Klang",""
"om12","Restoran BBB Bayu Corner","Soups","3.9","(100+)","Klang",""
"rv82","One Nyonya","Asian","3.9","(52)","Klang",""
"d4hz","RESTORAN SWEE HENG BAK KUT TEH","Chinese","4.5","(100+)","Klang",""
"x5nj","KIM HEONG POPIAH CORNER","Asian","3.8","(40)","Klang",""
"l21l","Pakcu Tomyam","Malaysian","4.5","(100+)","Klang",""
"zbvw","Chorn Lamoon Thai Kitchen","Thai","1","(1)","Klang",""
"g63a","CHIKII CHIKII - KLANG Taman Bayu Perdana","Asian","5","(2)","Klang",""
"jny7","BODHI VEGETARIAN RESTAURANT","Vegetarian","4.5","(100+)","Klang",""
"vscj","Tai Ah Kopitiam","Coffee","2.9","(5)","Klang",""
"v2ms","Mr Brader House Cafe","Chicken","4.4","(100+)","Klang",""
"kklq","Dong Qu Taiwan Restaurant (klang)","Chinese","4.9","(93)","Klang",""
"wgsr","Pandamaran 十字路口","Asian","5","(2)","Klang",""
"o42z","The Best Dim Sum Restaurant (Bayu Tinggi)","Asian","4.3","(100+)","Klang",""
