"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"r3kk","Restoran Rest 1 Maju","Roti Canai","4.4","(5000+)","Kajang",""
"lwy3","Ramly Burger Oldskul Bangi - Seksyen 5 West Country","Burgers","4.3","(30)","Kajang",""
"hher","Restoran D'Selera Yusof","Roti Canai","4.4","(500+)","Kajang",""
"i0mw","Mashigetta","Korean","4.8","(1000+)","Kajang",""
"kfa7","Pasta Panas (Bangi)","Pasta","4.6","(5000+)","Kajang",""
"l8fb","SAMILA SEAFOOD","Thai","4.5","(3000+)","Kajang",""
"b3vu","Korean Food (Halal)","Chicken","5","(10)","Kajang",""
"xv6v","NASI ARAB SOCOTRA","Asian","4.6","(100+)","Kajang",""
"ddv4","IPOH FAMOUS CHICKEN RICE","Chicken","4.9","(29)","Kajang",""
"ztao","Xiao Ming Zha Chuan @ Prima Food Garden","Chinese","4.2","(20)","Kajang",""
"s9rs","4Fingers Crispy Chicken (Bangi)","Chicken","4.6","(5000+)","Kajang",""
"kyxj","Akak Burger","Burgers","4.8","(100+)","Kajang",""
"mx62","My Ayam Ketuk - Bandar Tun Hussein Onn","Soups","4.5","(500+)","Kajang",""
"p6ee","Pizza Hut Delivery (De Centrum)","Pizza","4.3","(500+)","Kajang",""
"n3os","RSMY BANGI BEST CHEESE NAAN","Indian","4.5","(100+)","Kajang",""
"n8ux","Restoran Barra (Seksyen 6)","Malaysian","4.6","(5000+)","Kajang",""
"ual3","SABA Restaurant (Bandar Baru Bangi)","Chicken","4.9","(100+)","Kajang",""
"exfx","Restoran Nasi Arab Kajang (Bandar Kajang)","Middle Eastern","4.9","(5)","Kajang",""
"r4ol","Boba Tea House (Kajang)","Bubble Tea","4.6","(2000+)","Kajang",""
"nlqo","Zan's Pizza (Bangi Seksyen 5)","Pizza","4.7","(100+)","Kajang",""
"o4sn","Restoran Nasi Arab Jalan Reko","Chicken","4.6","(1000+)","Kajang",""
"s0qi","Baker's Cottage (Bangi)","Chicken Rice","4.8","(1000+)","Kajang",""
"y49u","Sushiku","Sushi","4.7","(12)","Kajang",""
"b3by","Mee Tarik Warisan Asli (Bangi)","Noodles","4.4","(1000+)","Kajang",""
"h2xe","IKAN BAKAR DAUN PISANG","Western","4.6","(1000+)","Kajang",""
"n4nb","McDonald's (Bandar Baru Bangi DT) - 1010231","Fast Food","4.6","(15000+)","Kajang",""
"n4tl","The Manhattan FISH MARKET (Evo Mall Bangi)","Seafood","4.6","(1000+)","Kajang",""
"oowd","Texas Chicken (Kompleks PKNS Bangi)","Fast Food","4.6","(4000+)","Kajang",""
"z6io","SATE KAJANG HJ. SAMURI (Pkns Bangi)","Satay","4.7","(1000+)","Kajang",""
"gu2o","Restoran Kak Shila","Asian","4.6","(2000+)","Kajang",""
"nylt","Pasta Rasa @ BANGI","Italian","1","(1)","Kajang",""
"bpnn","Mr Teppanyaki (Bangi Kompleks EVO)","Asian","4.1","(10)","Kajang",""
"e39z","FryDay's (Bangi)","Fried Chicken","4.9","(81)","Kajang",""
"t5wl","Romzee Tomyam","Fried Rice","4.6","(1000+)","Kajang",""
"g1sq","Daporlah (Evo Mall Bangi)","Chicken","4","(500+)","Kajang",""
"bqa6","Ayam Penyet Best (Evo Mall Bangi)","Ayam Penyet","4.2","(100+)","Kajang",""
"eaqv","Sambal Sambal (Bangi)","Asian","4.2","(33)","Kajang",""
"jt2i","Ayam Penyet Wak Rahim","Ayam Penyet","4.5","(100+)","Kajang",""
"w9ee","NF Ayam Penyet (Evo Mall Bangi)","Ayam Penyet","4.8","(1000+)","Kajang",""
"f5do","Mykori Dessert Cafe (Bangi)","Desserts","4.3","(100+)","Kajang",""
"y8mo","BUBBLEBEE (Bangi)","Western","4.7","(1000+)","Kajang",""
"a7on","Kek Lapis Mama Su","Beverages","4.6","(46)","Kajang",""
