"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"hvye","jasmin golden recipe","Indian","3.6","(32)","Puchong",""
"o3je","Hakka Lei Cha Rice (Puchong DG Food Court)","Dumpling","4.8","(100+)","Puchong",""
"z9oe","Wall's Ice Cream (Puchong)","Ice Cream","4.8","(100+)","Puchong",""
"o0ac","Mushroom Panda Xiao Chao (inside Restoran Puchong New Kopitam)","Chinese","4.5","(1000+)","Puchong",""
"bs7e","Vegie Hut Restaurant","Fried Rice","4.1","(69)","Puchong",""
"c28g","Bigg Papadam Banana Leaf","Malaysian","4.4","(100+)","Puchong",""
"unmv","Nasi Lemak Sedap","Malaysian","5","(1)","Puchong",""
"q0ux","Mr. Dakgalbi (Setia Walk)","Fried Rice","4.6","(100+)","Puchong",""
"s4st","39 char kuey teow @ Restaurant 39","Kuey Teow","4.4","(100+)","Puchong",""
"n6df","Restoran Bariani Gam Batu Pahat","Rice Dishes","4.4","(100+)","Puchong",""
"c4io","589 HONEY CHASIEW WANTAN MEE(ONN COFFEE)","Noodles","4.2","(100+)","Puchong",""
"kmip","Old Fatt Kee Pork Noodle (Puchong)","Chinese","4.6","(100+)","Puchong",""
"x4bq","S One One (Putra Prima)","Chicken","4.9","(49)","Puchong",""
"o6iq","Claypot Chicken Rice (Puchong DG Food Court)","Chicken Rice","4.5","(100+)","Puchong",""
"c7vo","Yummy banana","Pisang Goreng","3.3","(6)","Puchong",""
"ct64","Papas Mess","Asian","5","(1)","Puchong",""
"ojyn","URBAN BITES","Desserts","5","(5)","Puchong",""
"s5h6","FC07 Teppanyaki (Lotus's Puchong)","Malaysian","4","(1)","Puchong",""
"t9rj","VK Curry House","Indian","4.4","(100+)","Puchong",""
"u27x","Nasi Campur (Lotus's Puchong)","Chicken","4.5","(27)","Puchong",""
"u5yt","Homemade Pork Ball Noodle @ Restoran Fong Lei","Noodles","4.5","(31)","Puchong",""
"b1dw","Golden Good Taste @ Restoran ChaChanTeng","Soups","4.5","(21)","Puchong",""
"l0kg","Lapar & Haus","Snacks","4.8","(500+)","Puchong",""
"pqgm","Caffe Anziano","Coffee","4.9","(19)","Puchong",""
"q8rk","Big Apple Donuts & Coffee (Lotus’s Puchong)","Bread","4.8","(1000+)","Puchong",""
"z0xn","Restoran Di Naina Nasi Kandar (Puchong)","Nasi Kandar","4.3","(100+)","Puchong",""
"gaht","Rayyan burger","Burgers","5","(17)","Puchong",""
"w1hn","Thai Corner (Lotuss Foodcourt Puchong)","Chicken Chop","2.7","(14)","Puchong",""
"r6yw","Joma Chicken Rice","Malaysian","2.9","(45)","Puchong",""
"v4pa","Kampar Chee Cheong Fun @ Restoran 268 Soon Sing","Malaysian","4.5","(100+)","Puchong",""
"u3du","LIKE ME FRIED KUEY TEOW @ Restoran Soon Sing 268","Asian","5","(2)","Puchong",""
"mv06","Dapur Eshan","Malaysian","3.8","(2)","Puchong",""
"p9cg","Tealive (Lotus Extra Puchong)","Bubble Tea","4.6","(1000+)","Puchong",""
"o9bd","Koong Woh Tong (Lotus's Store Puchong Jaya)","Tea","4.9","(100+)","Puchong",""
"vqvc","Nasi Kukus Rimba - Lotus's Puchong","Asian","5","(9)","Puchong",""
"ss63","Nurul Sate Batang Pinang @ Puchong","Malaysian","4.6","(100+)","Puchong",""
"l7br","Goreng Pisang Big River","Pisang Goreng","5","(33)","Puchong",""
"jhca","RIZKY AYAM PENYET (Puchong)","Ayam Penyet","4.4","(93)","Puchong",""
"ih65","ZHA KUIH JALAN ALOR","Asian","5","(3)","Puchong",""
"hsnc","Western Stall (LOTUS'S Puchong)","Fried Rice","3.9","(96)","Puchong",""
"ej8p","Manis manis pisang","Pisang Goreng","4.9","(3)","Puchong",""
"kf8c","Coco Loca, Coconut Shake (Puchong)","Beverages","4.5","(100+)","Puchong",""
"fc3p","Mae auan thai restaurant","Thai","4.8","(17)","Puchong",""
"l38x","Poki Korean Fried Chicken - Puchong","Korean","5","(1)","Puchong",""
"vr7j","nacha food house","Thai","4.7","(3)","Puchong",""
"xuhk","EMPIRE SUSHI (Lotus's Puchong)","Sushi","4.7","(100+)","Puchong",""
"vdcc","Bread History (Lotus's Puchong)","Asian","4.8","(53)","Puchong",""
"k8u5","Restoran Ayam Penyet Pemburu Sambal - Kg Tengah Puchong","Ayam Penyet","4.3","(83)","Puchong",""
"k7ad","Ding Xiang Sang Nyuk Mee 鼎香生肉面 (Puchong)","Chinese","4.6","(100+)","Puchong",""
"qz1s","hap fatt kee seafood 合发记海鲜大炒","Chinese","4.7","(37)","Puchong",""
"k6fl","Ipoh Shredded Chicken Hor Fun @ Thong Kee Cafe Puchong","Noodles","4.7","(100+)","Puchong",""
"gv46","RESTORAN bandar puchong","Indian","4.8","(38)","Puchong",""
"s3yj","Al qadr Rojak Cendol","Desserts","4.8","(100+)","Puchong",""
"z4ty","Kebab Station Shawarma @ Medan Selera Everyday","Shawarma","4.8","(77)","Puchong",""
"q9ym","Wai Kee Wantan Mee @ Medan Selera Everyday","Chinese","2.3","(27)","Puchong",""
"dxh8","Kambing Bakar Laksa Kedah","Soups","4.2","(100+)","Puchong",""
"f2gy","Rani Samayal Empire","Chicken","4.7","(100+)","Puchong",""
"iy8k","Signature by Coolconut","0 min","4.7","(100+)","Puchong",""
"u7x8","NASI KUKUS KAK ANI (PUCHONG)","Nasi Kukus","4.6","(100+)","Puchong",""
