"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"ll9d","Lot Char Kuey Teow","Malaysian","4.5","(35)","Putrajaya",""
"mwk0","Ayam Kicap Tok Taman Warisan","Malaysian","4.6","(80)","Putrajaya",""
"uknc","RASA ORE KAMPUNG","Malaysian","4.4","(58)","Putrajaya",""
"u6bx","Hidangan Marina Nasi Lemak Ayam Dara Berempah","Nasi Lemak","4.8","(2000+)","Putrajaya",""
"rh8y","Nonie's Kitchen@Chef Ewan Cafe","Chicken","4.8","(100+)","Putrajaya",""
"lcbb","Village Bakery","Chicken Chop","4.9","(34)","Putrajaya",""
"q5bo","Padi House (Putrajaya)","Pasta","4.5","(1000+)","Putrajaya",""
"r9pe","KEDAI KOPI PERINGAT PUTRAJAYA","Asian","4.6","(1000+)","Putrajaya",""
"v6nl","Fattoush Express","Chicken","4.6","(500+)","Putrajaya",""
"o2kg","Kafe Tuuu...Dia Pak Tam (Putrajaya)","Noodles","4.8","(42)","Putrajaya",""
"s3qi","Baker's Cottage (Putrajaya 8)","Chicken Rice","4.8","(3000+)","Putrajaya",""
"r5pg","D SAHUL CAFE","Roti Canai","4.7","(2000+)","Putrajaya",""
"zqp0","Nasi Ayam Geprek/Ayam Kunyit & Bakso Pak Thohid","Chicken","4.8","(100+)","Putrajaya",""
"w83j","SUP GEARBOX PUTRAJAYA","Malaysian","4.9","(5)","Putrajaya",""
"t3zv","Mee Rebus Selera (Johor)","Malaysian","4.6","(2000+)","Putrajaya",""
"kjt6","Y&A PISANG GORENG CHEESE PUTRAJAYA","Desserts","4.8","(500+)","Putrajaya",""
"b7sw","FIRZT BURGER & COFFEE","Malaysian","4.6","(500+)","Putrajaya",""
"gxla","Thai Express (Putrajaya)","Thai","4.7","(2000+)","Putrajaya",""
"oedr","Papa Manis World","Fast Food","4.8","(18)","Putrajaya",""
"b1ks","Y&A Banana and cheese warisan classic","Cakes","4.9","(100+)","Putrajaya",""
"a9az","Apam Balik Seri Menanti (Putrajaya sentral)","Malaysian","4.9","(100+)","Putrajaya",""
"lpmu","Akie Burger Fasa 11 (Presint 9)","Asian","4.7","(100+)","Putrajaya",""
"b5yx","Zara Baan Thai","Malaysian","3.1","(24)","Putrajaya",""
"djp6","D Satay Putrajaya","Malaysian","2.7","(8)","Putrajaya",""
"uygs","Yong Tau Foo Kambing Meraung","Malaysian","4.7","(100+)","Putrajaya",""
"xy9w","Slim Pizza Putrajaya","Pizza","4.6","(100+)","Putrajaya",""
"zpi1","Cafe OJ","Fried Rice","4.7","(1000+)","Putrajaya",""
"aoqh","Nasi Beriani Ajiq","Asian","5","(100+)","Putrajaya",""
"q383","Nasi Kukus Ayam Dara @  Medan Selera Presint 9","Nasi Kukus","3.9","(5)","Putrajaya",""
"f6pe","Roxy Maju","Burgers","4.8","(100+)","Putrajaya",""
"p9hw","Nasi Kukus Warisan Ambo (Putrajaya)","Malaysian","4.8","(5)","Putrajaya",""
"ayh1","Keropok Lekor Asli Terengganu Dapor Che Esah","Malaysian","5","(1)","Putrajaya",""
"s6tj","SELERA POK KU @ PRESINT 9","Nasi Lemak","4.5","(1000+)","Putrajaya",""
"wsnl","Huffaz Kitchen","Fried Rice","4.5","(68)","Putrajaya",""
"gk74","Znielicious Food by Tok Abah","Malaysian","3","(23)","Putrajaya",""
"deu0","Kedai Nasi Kerabu Bonda","Nasi Kerabu","4.7","(500+)","Putrajaya",""
"a5is","Nasi Ayam Goreng Kunyit Mahkamah @ Myfarm","Chicken","4.7","(1000+)","Putrajaya",""
"r6xz","FUJIE’S BURGER PRESINT 8","Burgers","4.7","(500+)","Putrajaya",""
"yhxt","Mango Bay @ Presint 9 Putrajaya","Juice","5","(47)","Putrajaya",""
"rbwg","Surat Cinta Putrajaya","Asian","4.7","(3)","Putrajaya",""
"wxgg","Azlan Ala Carte","Fried Rice","4.9","(25)","Putrajaya",""
"umck","Nasi Ayam Pak Tams (Putrajaya)","Chicken","4.8","(500+)","Putrajaya",""
"p9pu","CHEF EWAN CAFE","Fried Rice","4.6","(5000+)","Putrajaya",""
"c8if","DeSara NASI LEMAK KOPI O","Nasi Lemak","4.6","(500+)","Putrajaya",""
"qk8i","Pak Ngah Sup Utaqha Meletop","Malaysian","4.7","(100+)","Putrajaya",""
"htem","Nasi Kukus Warisan Ambo","Nasi Kukus","4.6","(100+)","Putrajaya",""
"s6ga","Johnny's Restaurant (Alamanda)","Fried Rice","4.8","(3000+)","Putrajaya",""
"l5td","Beverages - Rasa Alamanda","Beverages","4.7","(87)","Putrajaya",""
"j5es","Nasgor Kuali Terbang @ Presint 15","Asian","5","(2)","Putrajaya",""
"u2om","Wingstreet (Putrajaya, Alamanda)","Fast Food","4.6","(16)","Putrajaya",""
"o7ym","D'Harmoni @ 9 (Kiosk 07)","Nasi Lemak","4.7","(1000+)","Putrajaya",""
"vl6x","Nasi Lemak 7pagi","Nasi Lemak","4.7","(34)","Putrajaya",""
"dejg","Portugis Ikan Bakar - Rasa Alamanda","Seafood","4.4","(100+)","Putrajaya",""
"trgo","Ramos Kitchen","Fast Food","4.7","(100+)","Putrajaya",""
"s5dh","Iqra Tomyam & Nasi Campur","Fried Rice","4.8","(4000+)","Putrajaya",""
"jssl","Nasi Ayam Hainan (SP) Putrajaya Western Delight Nasi Lemak","Malaysian","5","(4)","Putrajaya",""
"s9zw","Mek Pantai Timur Taman Warisan","Fried Rice","4.7","(2000+)","Putrajaya",""
"qaq0","Merci Cafe","Bread","4.8","(56)","Putrajaya",""
"wj1j","Lekir Char Kuey Teow","Asian","5","(2)","Putrajaya",""
"xsis","A&A HOTZ KITCHEN","Asian","4.9","(9)","Putrajaya",""
"q3ya","Sepiring (Alamanda Shopping Centre)","Chicken","4.7","(100+)","Putrajaya",""
"djzd","RESTORAN A RAA THAI TOMYAM","Malaysian","4.4","(3000+)","Putrajaya",""
"m6zd","McDonald's (Alamanda) - 1010198","Fast Food","4.6","(5000+)","Putrajaya",""
"mdz5","Restoran Selera Makang Makang","Malaysian","5","(1)","Putrajaya",""
"j0fq","Krispy Kreme (Alamanda)","Bread","4.8","(1000+)","Putrajaya",""
"rn7q","Cik Na Nasi Dagang Ganu","Asian","4.5","(6)","Putrajaya",""
"hlqa","Nuevo Café","Briyani","4.4","(54)","Putrajaya",""
"n4yg","Sushi King (Alamanda)","Japanese","4.7","(3000+)","Putrajaya",""
"o20h","Mee Kari Putrajaya","Asian","4.5","(4)","Putrajaya",""
"i2gx","Empire Sushi (Alamanda Mall)","Sushi","4.7","(1000+)","Putrajaya",""
"w4rm","RED WHITE CAFE","Fried Rice","4.6","(2000+)","Putrajaya",""
"py9j","Dunkin' (Alamanda Putrajaya)","Bread","4.7","(100+)","Putrajaya",""
"yqzy","Red White Cafe (Breakfast)","Roti Canai","4.6","(500+)","Putrajaya",""
"g12f","1901 MEDAC","Western","4.5","(57)","Putrajaya",""
"bby6","llaollao (Alamanda Mall)","Desserts","5","(76)","Putrajaya",""
"xtbr","Kelantan & Thai Food","Malaysian","4.8","(40)","Putrajaya",""
"ips0","Roti John - Rasa Alamanda","Malaysian","4.8","(68)","Putrajaya",""
"s4ac","Black Canyon Restaurant (Alamanda)","Tom Yum","4.8","(2000+)","Putrajaya",""
"km57","Patin Temerloh @ Shaftsbury Putrajaya","Malaysian","3.7","(14)","Putrajaya",""
"f4py","Auntie Anne's (Alamanda)","Bread","4.7","(2000+)","Putrajaya",""
"hu6q","Restoran Selasih (Putrajaya)","Malaysian","4.5","(2000+)","Putrajaya",""
"oumu","Ayam Kicap Boghasap","Asian","5","(47)","Putrajaya",""
"j2fi","MINCOFFEE Putrajaya","Coffee","4.8","(100+)","Putrajaya",""
"i797","Dims N Snacks - Kompleks Kejiranan Presint 16","Seafood","5","(1)","Putrajaya",""
"g7u6","Badek Cafe","Asian","5","(1)","Putrajaya",""
"u9sx","Mj Sri Perak","Malaysian","4.6","(100+)","Putrajaya",""
"m6ko","Restoran Selera Kita","Chicken","4.5","(500+)","Putrajaya",""
"d39x","ADIRA THAI TOMYAM","Fried Rice","4.7","(500+)","Putrajaya",""
"tzvf","Mios Munch (Putrajaya)","Salads","4.5","(1000+)","Putrajaya",""
"tj67","Ana Patin House @ Putrajaya","Malaysian","4.8","(34)","Putrajaya",""
"nogw","Azhar Station Ayam Goreng Kunyit (PUTRAJAYA)","Asian","4.5","(57)","Putrajaya",""
"makh","Richiamo Coffee (Putrajaya)","Asian","4.8","(500+)","Putrajaya",""
"inoa","SDS Bakery & Cafe (Putrajaya)","Cakes","4.5","(78)","Putrajaya",""
"gudl","Kopi by 4 Friends","Western","5","(3)","Putrajaya",""
"ykkx","Restoran Seri Wangi","Malaysian","4.7","(100+)","Putrajaya",""
"n9rb","Bistro Bonda","Fried Rice","4.3","(1000+)","Putrajaya",""
"r4nj","Mee Bandung Muar Hj Masjuki","Fried Rice","4.5","(500+)","Putrajaya",""
"sugb","Myra Dessert Putrajaya","Desserts","3.7","(21)","Putrajaya",""
"w15v","Dapur Sorok","Asian","5","(16)","Putrajaya",""
"o0qm","MIOSKITCHEN (Presint 15 Putrajaya)","Chicken","4.5","(1000+)","Putrajaya",""
"ws95","Burgerbros","Burgers","4.6","(51)","Putrajaya",""
"ub5l","That’s dumpling","Malaysian","4","(100+)","Putrajaya",""
"dj2h","Dilana Tandoor","Chicken","4.5","(100+)","Putrajaya",""
"hqqk","Ayam Ketuk Sambal Api - Putrajaya","Soups","4.8","(500+)","Putrajaya",""
"nw7t","4Fingers Crispy Chicken (Putrajaya)","Chicken","4.7","(3000+)","Putrajaya",""
"q4db","HADRAMAWET AL ARABI","Shawarma","4.6","(500+)","Putrajaya",""
"hrgj","Dapur Cinta Jannah","Malaysian","3.7","(15)","Putrajaya",""
"nkev","US PIZZA (Putrajaya)","Pizza","4.5","(500+)","Putrajaya",""
"zxkq","COCONUT SHAKE 336 (Putrajaya)","Beverages","4.8","(23)","Putrajaya",""
"krhn","Zerrixs Kitchen","Rice Dishes","4.8","(100+)","Putrajaya",""
"zazz","Mr. Churros (Putrajaya Presint 14)","Desserts","5","(34)","Putrajaya",""
"s8as","ATEH SATE KAJANG P5","Malaysian","3.6","(8)","Putrajaya",""
"wivx","Chuan Cai Hot Pot 川菜火锅","Chinese","5","(2)","Putrajaya",""
"vzdq","Burger Sempoi","Burgers","4","(6)","Putrajaya",""
"scdp","WARISAN TIGA RASA","Thai","2.6","(30)","Putrajaya",""
"q3nk","Mr Kabab & Briyani","Curry","4.6","(1000+)","Putrajaya",""
"u6lf","Restoran Xinjiang","Malaysian","4.6","(500+)","Putrajaya",""
"f1vl","BUBBLEBEE (Putrajaya)","Western","4.6","(1000+)","Putrajaya",""
"ad60","Mohd Chan (Putrajaya)","Asian","4.7","(500+)","Putrajaya",""
"p3lj","Kabab & Shawarma","Shawarma","4.5","(500+)","Putrajaya",""
"n1ro","Domino's Pizza (Putrajaya 2)","Pizza","4.5","(3000+)","Putrajaya",""
"xmbw","Salam Noodles (Presint 15, Putrajaya)","Malaysian","4.7","(100+)","Putrajaya",""
"fpje","HAYAT POLO NASI KANDAR MELAYU PRESINT 14","Asian","4.5","(31)","Putrajaya",""
"n3z9","Kenangan Coffee (Putrajaya Precint 15)","Halal","5","(6)","Putrajaya",""
"wsm1","EMPIRE CAKOI (Cakoi Original Jengka)","Malaysian","5","(29)","Putrajaya",""
"ggi0","YATI & MAI HOMEKITCHEN","Malaysian","3.6","(8)","Putrajaya",""
"c1ci","Lc Restoran","Malaysian","2.2","(2)","Putrajaya",""
"gq59","Ayam Gepuk Pak Gembus (Putrajaya Nadi 15)","Fried Chicken","4.6","(1000+)","Putrajaya",""
"s5ob","Kakatoo Restaurant (IOI City Mall)","Chicken","4.6","(88)","Putrajaya",""
"j61z","Cheymas Kitchen","Asian","1","(1)","Putrajaya",""
