"year","month","FoodType","averagerating","totalreview"
"2023","11",Porridge,4.0,91
"2023","11",Ramen,4.5,8
"2023","11",Rice Dishes,3.7,478
"2023","11",Roti Canai,3.6,1484
"2023","11",Salads,3.9,30
"2023","11",Sandwiches,3.8,284
"2023","11",Satay,3.9,131
"2023","11",Seafood,4.0,274
"2023","11",Shawarma,3.9,200
"2023","11",Snacks,4.0,24
"2023","11",Soups,3.7,277
"2023","11",Sushi,3.7,55
"2023","11",Takoyaki,3.3,88
"2023","11",Thai,3.8,600
"2023","11",Tom Yum,4.1,44
"2023","11",Vegetarian,4.1,125
"2023","11",Western,3.9,317
"2023","11",Wraps,4.2,20
"2023","12",American,3.1,19
"2023","12",Asian,3.7,2540
"2023","12",Ayam Penyet,3.7,474
"2023","12",Beverages,3.9,302
"2023","12",Bread,3.9,129
"2023","12",Briyani,3.8,134
"2023","12",Bubble Tea,3.2,48
"2023","12",Burgers,4.2,779
"2023","12",Cakes,4.1,137
"2023","12",Chicken,3.7,2532
"2023","12",Chicken Chop,3.7,108
"2023","12",Chicken Rice,3.3,127
"2023","12",Chinese,3.4,916
"2023","12",Curry,4.3,54
"2023","12",Desserts,3.8,317
"2023","12",Dim Sum ,3.4,7
"2023","12",Dumpling,3.3,19
"2023","12",European,4.0,36
"2023","12",Fast Food,3.2,460
"2023","12",Fried Chicken,3.1,420
"2023","12",Fried Rice,3.7,2290
"2023","12",Fries,3.6,14
"2023","12",Grill,2.5,4
"2023","12",Halal,4.9,7
"2023","12",Healthy,4.2,81
"2023","12",HomeChef,1.5,2
"2023","12",Indian,3.4,886
"2023","12",International,3.3,54
"2023","12",Italian,3.3,46
"2023","12",Japanese,3.3,143
"2023","12",Juice,3.9,26
"2023","12",Korean,3.5,188
"2023","12",Kuey Teow,4.2,55
"2023","12",Laksa,3.5,142
"2023","12",Malaysian,3.7,6562
"2023","12",Mediterranean,4.0,14
"2023","12",Mee Goreng,2.9,7
"2023","12",Middle Eastern,3.9,288
"2023","12",Nasi Kandar,3.3,308
"2023","12",Nasi Kerabu,3.8,190
"2023","12",Nasi Kukus,3.9,368
"2023","12",Nasi Lemak,3.8,860
"2023","12",Noodles,3.8,414
"2023","12",Pancakes & Waffles,4.0,173
"2023","12",Pasta,3.7,227
"2023","12",Pisang Goreng,3.9,41
"2023","12",Pizza,3.2,166
"2023","12",Poke Bowl ,3.3,36
"2023","12",Porridge,3.8,102
"2023","12",Ramen,1.0,2
"2023","12",Rice Dishes,3.5,447
"2023","12",Roti Canai,3.5,1654
"2023","12",Salads,4.3,19
"2023","12",Sandwiches,3.6,245
"2023","12",Satay,3.9,110
"2023","12",Seafood,3.7,301
"2023","12",Shawarma,3.9,197
"2023","12",Snacks,4.1,15
"2023","12",Soups,3.9,255
"2023","12",Sushi,3.6,37
"2023","12",Takoyaki,3.7,75
"2023","12",Thai,3.6,685
"2023","12",Tom Yum,4.0,52
"2023","12",Vegetarian,4.1,121
"2023","12",Western,3.8,287
"2023","12",Wraps,3.4,19
"2024","01",American,3.5,8
"2024","01",Asian,3.7,3118
"2024","01",Ayam Penyet,3.8,472
"2024","01",Beverages,4.0,353
"2024","01",Bread,3.8,110
"2024","01",Briyani,3.6,128
"2024","01",Bubble Tea,3.5,40
"2024","01",Burgers,4.3,912
"2024","01",Cakes,4.1,138
"2024","01",Chicken,3.7,2523
"2024","01",Chicken Chop,4.2,135
"2024","01",Chicken Rice,3.7,123
"2024","01",Chinese,3.5,937
"2024","01",Curry,3.5,34
"2024","01",Desserts,3.8,325
"2024","01",Dim Sum ,2.8,5
"2024","01",Dumpling,3.6,13
"2024","01",European,4.3,16
"2024","01",Fast Food,3.1,554
"2024","01",Fried Chicken,3.3,429
"2024","01",Fried Rice,3.8,2398
"2024","01",Fries,3.3,15
"2024","01",Grill,2.6,8
"2024","01",Halal,2.8,11
"2024","01",Healthy,4.0,64
"2024","01",HomeChef,3.6,7
"2024","01",Ice Cream,5.0,1
"2024","01",Indian,3.3,927
"2024","01",International,3.6,69
"2024","01",Italian,3.7,36
"2024","01",Japanese,3.6,192
"2024","01",Juice,3.8,38
"2024","01",Korean,3.7,229
"2024","01",Kuey Teow,4.2,65
"2024","01",Laksa,3.8,160
